Major paragraph headings,Sub Section,Heritage BU,Portfolio?,Common process/ contact details,New content for MF Support Handbook (same terminology),Linked to a project,Project Owner,Project Delivery date
Leveraging Self Help Resources,,,,,,,,
Leveraging Self Help Resources,Search the Knowledgebase,MF,,Yes,"The Micro Focus Knowledgebase is part of the Community http://community.microfocus.com/. The site is organised by product, so you can perform a very specific search. Select ‘Micro Focus’ or ‘Borland’ from the title bar and select the relevant product. You’ll find the Knowledgebase under the Wiki tab.  With approximately 25,000 articles already on the site and more being added daily, it’s an excellent resource. Why not have a look today? ",Yes,,
Leveraging Self Help Resources,Search the Knowledgebase,NV,,Yes,"The support knowledgebase is a valuable troubleshooting and how-to resource, providing access to a rich database of technical articles, Technical Information Documents (TIDs), white papers, read-me documents and more. Through the comprehensive search capability, you can find the most recent patches for products, look for product documentation, search for TIDs, find tips and tricks, access technical articles and download free tools. Use the range of support information and tools available to you to troubleshoot issues before escalating to us.",Yes,,
Leveraging Self Help Resources,Search the Knowledgebase,NQ,,Yes,"1. Go to www.netiq.com/support/
2. Type in the question in the Search Knowledgebase field
3. To narrow your search further, you may select a product from the Products drop-down menu
4. Click Search

Customers with current maintenance can access the additional web-based tools below in locked areas of the support site. These areas also contain tools designed to enhance your support experience.",Yes,,
Leveraging Self Help Resources,Search the Knowledgebase,AQ,,Yes,"The support knowledgebase is a valuable troubleshooting and how-to resource, providing access to rich database of technical articles, Technical Notes, Documentation and Product Support Lifecycle Version status.  Use the range of support information and tools available to you to troubleshoot issues before escalating to us. In self help resources, regarding knowledgebase technical documents, AQ uses “Tech Note” (vs. NV uses “Support TID” =Technical Information Document). Also, AQ offers browse-friendly “Technical Resources” pages so customers are not forced to search.",Yes,,
Leveraging Self Help Resources,Search the Knowledgebase,NQ-New,,Yes,"The support knowledgebase is a valuable troubleshooting and how-to resource, providing access to a rich database of technical articles, Technical Information Documents (TIDs), white papers, read-me documents and more. Through the comprehensive search capability, you can find the most recent patches for products, look for product documentation, search for TIDs, find tips and tricks, access technical articles and download free tools. Use the range of support information and tools available to you to troubleshoot issues before escalating to us.",Yes,,
Leveraging Self Help Resources,Participate in Support Forums,MF,,Yes,,,,
Leveraging Self Help Resources,,NV,,Yes,"Support Forums are available at no cost and allow you to interact with our company and other industry experts, as well as your industry peers, to resolve technical issues, build individual expertise and enhance the collective store of information.",,,
Leveraging Self Help Resources,,NQ,,Yes,"Support Forums are available at no cost and allow you to interact with our company and other industry experts, as well as your industry peers, to resolve technical issues, build individual expertise and enhance the collective store of information.",,,
Leveraging Self Help Resources,,AQ,,No,"""Attachmate"" uses Internal Forum ",,,
